b_cate,m_cate,s_href,s_cate,book_img,book_name,book_url,book_desc,book_price,book_author,book_publish_data,book_press,book_comment
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/41/25/1165950167-1_b_2.jpg, 芝麻街英语启蒙学习幼儿童早教育英文原版动画片DVD视频碟双语版 美国原版 英语早教 高清22DVD,http://product.dangdang.com/1165950167.html,,¥158.00,,2017-09-09,太平洋音像出版社,80条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m8.ddimg.cn/82/22/1373907628-1_b_1.jpg, 原装正版 狮子王1-3全集 迪士尼儿童动画电影光盘dvd碟片 国语/英语 正版保证！闪电发货！包发票！*品！,http://product.dangdang.com/1373907628.html,,¥118.00,,None,,94条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/89/33/1371615785-1_b_1.jpg, 书虫第一级(1)(美绘光盘版)(适初一1初二2年级)外研社书虫牛津英汉双语读物 小学生初中生英语课外读物 英语小说中英 书虫第一级(1)(美绘光盘版)(适初一1初二2年级),http://product.dangdang.com/1371615785.html,,¥138.00,,2018-06-29,外语教学与研究出版社,53条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/93/23/1395633585-1_b_1.jpg, 书虫6级六级 共8册 附Mp3光盘 中英文对照 适合高三大学低年级 牛津英汉双语读物 书虫系列 高中生大学生英语名著小 书虫6级六级 共8册,http://product.dangdang.com/1395633585.html,,¥158.00,,2018-07-03,外语教学与研究出版社,37条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/82/15/1458008029-1_b_1.jpg, 正版 剑桥英语青少版2 学生包 English in Mind 对应KET考试教材含学生用书+视听包+同步训练+DVD 剑桥英语青少版2,http://product.dangdang.com/1458008029.html,,¥138.00,,2018-08-08,外语教学与研究出版社,60条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/37/16/1202923000-1_b_1.jpg, 汉字宫第一部正版儿童识字幼儿光盘早教dvd学汉字理白双法爱和乐 2-13岁 学汉字 约800字 第一部 13DVD,http://product.dangdang.com/1202923000.html,,¥198.00,白双法,2007-11-01,厦门音像出版社,250条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/4/23/1502436379-1_b_1.jpg, 原装正版 CCTV中国诗词大会 合集：一季+二季+三季+四季 完整版 30DVD+1MP3 文学 中国文化 光盘 ,http://product.dangdang.com/1502436379.html,,¥368.00,,None,,5条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/71/17/1170012167-1_b_1.jpg, 正版汽车载CD光盘世界古典音乐钢琴曲莫扎特贝多芬巴赫cd黑胶碟片正版汽车载CD光盘世界古典音乐钢琴曲莫扎特贝多芬巴赫c 曲莫扎特贝多芬巴赫汽车载CD光盘,http://product.dangdang.com/1170012167.html,,¥135.00,,2017-09-06,云南音像出版社,20条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/7/24/1465355239-1_b_1.jpg, 2019全新统编一年级学拼音教材光盘幼小衔接儿童早教碟片蔡小白编 2019全新统编一年级学拼音教材,http://product.dangdang.com/1465355239.html,,¥88.00,广东大音出版社,2019-03-08,广东大音出版社,8条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/81/21/1157717367-1_b_1.jpg, phonics kids 少儿英语自然拼读教材书幼儿童英语启蒙视频DVD光盘 12张光盘+12本教材书,http://product.dangdang.com/1157717367.html,,¥246.00,,2017-09-10,保盛音像,67条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/8/29/1444620185-1_b_1.jpg, 新概念英语青少版1A+1B全套4本可点读学生用书+练习册新概念英语(青少版1B练习册)DVDmp3光盘少儿小学生青少年 新概念英语青少版1A+1B全套,http://product.dangdang.com/1444620185.html,,¥139.00,,2018-07-09,外语教学与研究出版社,37条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/70/5/1454294329-1_b_1.jpg, 生物化学辅导与习题集 第三版 生物化学 生物化学第三版配套辅导 王镜岩配套习题集 生物化学辅导与习题集 第三版,http://product.dangdang.com/1454294329.html,,¥88.00,,2018-08-03,崇文书局,16条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/48/30/1435996929-1_b_1.jpg, 正版 书虫系列.牛津英汉双语读物:入门级套装(适合小学高年级.初一)(套装共27册)(附MP3光盘3张)书虫三级 ,http://product.dangdang.com/1435996929.html,,¥258.00,外研社,2018-08-06,外研社,5条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/64/21/1352308285-1_b_1.jpg, 丽声瑞格叔叔自然拼读法 1点读版 少儿英语Phonics教材配CD光盘字母卡 小学拼读培训通用教程 少儿幼儿英语启蒙教 自然拼读法 1点读版 少儿英语Phonics教材,http://product.dangdang.com/1352308285.html,,¥108.00,,2018-06-26,外语教学与研究出版社,53条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/15/12/1166155467-1_b_1.jpg, 正版宫崎骏动画电影全集高清DVD光盘龙猫/千与千寻/天空之城碟片 宫崎骏 全集动漫 12部,http://product.dangdang.com/1166155467.html,,¥266.00,,2017-09-02,北京泰盛世纪,36条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/39/36/1454162529-1_b_1.jpg, 新东方TOEFL托福考试指南 OG 第5版 托福 附光盘模考题听说读写分项讲解 题型分类 托福写作 ETS 新东方TOEFL托福考试,http://product.dangdang.com/1454162529.html,,¥168.00,,2018-08-03,群言出版社,9条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/60/20/1438558170-1_b_1.jpg, 正版 学弹尤克里里教材乌克丽丽ukulele教学视频入门教程教材书籍曲谱 ,http://product.dangdang.com/1438558170.html,,¥98.00,,2017-07-05,成都时代出版社,32条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/9/1/1035432495-1_b_2.jpg, 正版李晓明工笔牡丹入门宝典20DVD碟片国画教学视频光盘 当天发货,http://product.dangdang.com/1035432495.html,,¥638.00,,2014-09-17,无,6条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/9/3/1484853885-1_b_1.jpg, 剑桥通用五级考试PET青少版官方真题教材 1-2 5-6 附MP3光盘 含答案 剑桥通用五级ket考试官方真题考试一本 剑桥通用五级考试PET官方真题教材 1-2 5-6,http://product.dangdang.com/1484853885.html,,¥240.00,,2018-07-19,外文出版社,39条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/98/14/1005248870-1_b_2.jpg, 正版 哈利波特全集8DVD D9(1-7部合集)高清电影光盘碟片中英文版 1-7部全集 8张dvd碟 完整高清全集,http://product.dangdang.com/1005248870.html,,¥218.00,大卫·叶茨,2016-12-06,中国数字文化集团有限公司 中国录音录像出版总社,116条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/90/15/1136918070-1_b_3.jpg, 电子琴零基础教程少年儿童初级初学入门自学教材教学视频曲谱书籍 书+视频光盘 零基础教程 121页 附练习曲谱,http://product.dangdang.com/1136918070.html,,¥69.00,,2017-03-15,成都时代音像出版社,81条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/78/31/1465332639-1_b_1.jpg, 正版 世界名曲古典音乐全集 德国专业黑胶LP发烧碟片光盘10CD礼品精装 LP高品质 黑胶发烧CD,http://product.dangdang.com/1465332639.html,,¥569.00,深圳音像公司,2019-03-08,深圳音像公司,2条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m2.ddimg.cn/80/24/1107923732-1_b_1.jpg, 汽车音乐车载CD唱片音乐光盘经典浪漫金曲欧美金唱片黑胶5CD 原装正版，闪电发货,http://product.dangdang.com/1107923732.html,,¥156.00,名家,2014-06-11,广东音像出版社,25条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/34/34/1458112129-1_b_1.jpg, 正版 剑桥英语青少版 学生包3点读版 含学生用书+视听包+同步训练+DVD手册 English in Mind 第三级 剑桥英语青少版 学生包3,http://product.dangdang.com/1458112129.html,,¥138.00,,2018-08-03,外语教学与研究出版社,28条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/27/25/1347998085-1_b_2.jpg, 儿童手工diy创意制作材料包纸盘子画幼儿园纸杯贴纸益智女孩玩具 纸盘子画 手工diy,http://product.dangdang.com/1347998085.html,,¥68.00,芙蓉天使,2018-06-26,芙蓉天使,20条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/22/16/1098220585-1_b_1.jpg, 正版建军大业/建国大业/建党伟业DVD国革命战争军事高清电影光碟 ,http://product.dangdang.com/1098220585.html,,¥156.00,,2018-04-19,中影音像,8条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/35/4/1396102985-1_b_1.jpg, 书虫·牛津英汉双语读物(美绘光盘版)入门级-4级共6盒(配光盘) 书虫美绘光盘版 书虫入门级-4级共6盒(配光盘),http://product.dangdang.com/1396102985.html,,¥398.00,,2018-07-03,外语教学与研究出版社,7条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/27/6/1504640637-1_b_1.jpg, 2019年正版 初中7七年级下册英语光盘（CD ROM）2张 2CD+教材 初一下学期英语光碟与人教版部编版七下英语书 初中7七年级下册英语2CD+教材,http://product.dangdang.com/1504640637.html,,¥98.00,,2019-06-06,人民教育出版社,3条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/4/32/1452911629-1_b_1.jpg, 丽声我的第一套英文视觉词读本 配光盘 可点读套装共26册识字3-6-7-8岁幼少儿童双语读物英语启蒙幼小衔接英文语绘本 我的第一套英文视觉词读本,http://product.dangdang.com/1452911629.html,,¥128.00,,2018-08-03,外语教学与研究出版社,35条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/4/20/1142780170-1_b_1.jpg, 葫芦丝初级基础初学入门教学视频教程简谱乐曲谱教材书籍DVD光盘 ,http://product.dangdang.com/1142780170.html,,¥69.00,尹春林,2017-03-19,成都时代出版社,30条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m4.ddimg.cn/51/32/1229524314-1_b_1.jpg, 现货直发 思维导图伴你学初中语文1DVD+手册+导图 9787301209714 增值税普通发票，原装正版，现货发售，现货发售，现货发售，现货发售，现货发行。,http://product.dangdang.com/1229524314.html,,¥54.00,刘火平,2019-01-14,北京大学出版社,7条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/76/31/1212780370-1_b_1.jpg, 正版 央视中国诗词大会第一二季全集10DVD光盘碟片D9董卿古诗词 高清,http://product.dangdang.com/1212780370.html,,¥205.00,,2017-05-02,中国国际电视总公司出版发行,48条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/67/22/1444303939-1_b_1.jpg, 英文原版Leap Frog跳跳蛙Phonics自然拼读法DVD英语字幕 动画碟片 Leap Frog跳跳蛙,http://product.dangdang.com/1444303939.html,,¥288.00,广东音像出版社,2019-03-01,广东音像出版社,12条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/88/15/1386020977-1_b_2.jpg, 新华书店正版 大音 丰富的安静DSDCD ,http://product.dangdang.com/1386020977.html,,¥25.00,,2012-11-14,广东大音音像出版社,3条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m1.ddimg.cn/15/7/1046897691-1_b_2.jpg, 少儿童拉丁舞基础入门舞蹈基本功教学视频教程教材DVD光盘光碟片 14张光盘 完整表演 动作分解讲解 正版高清,http://product.dangdang.com/1046897691.html,,¥98.00,,2016-10-25,杭州汉书数字出版传媒有限公司,23条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/39/26/1206896070-1_b_1.jpg, 正版巧乐虎乖双语启蒙早教DVD光盘学英语儿歌教材碟片 高清正版,http://product.dangdang.com/1206896070.html,,¥107.00,乐虎,2017-05-01,云南音像出版社,47条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/67/11/1287344785-1_b_1.jpg," 正版 那些年,我们一起追的球星II 第2部 天下足球 CCTV5体育明星传记书籍 梅西C罗伊布老冯皮尔洛球星故事 足球 那些年,我们一起追的球星II 第2部",http://product.dangdang.com/1287344785.html,,¥98.00,,2018-06-16,长江文艺出版社,15条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m7.ddimg.cn/25/7/1284081307-1_b_3.jpg," 蒋勋细说红楼梦 蒋勋说红楼梦有声书:第1-80回(台湾名家原声讲堂,40CD碟共180小时 mp3) (台湾美学大家蒋 正版保证！闪电发货！",http://product.dangdang.com/1284081307.html,,¥1180,,None,,56条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/49/32/1486011829-1_b_1.jpg, Adobe Illustrator CS5从入门到精通 中文版经典教程(附光盘) AI教程 cs5软件教程 illus Adobe Illustrator CS5从入门到精通,http://product.dangdang.com/1486011829.html,,¥138.00,,2018-08-10,清华大学出版社,12条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m8.ddimg.cn/68/18/1342547978-1_b_1.jpg, 现货正版包票 8册图书 习近平讲故事+用典+知之深爱之切+平易近人+之江心语+治国理政+摆脱贫困+走在前列 ,http://product.dangdang.com/1342547978.html,,¥305.00,习近平人民日报评论部,2018-01-01,人民出版社 人民日报 等,13条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/17/29/1446185285-1_b_1.jpg, 中国近现代音乐史 第三次修订版 汪毓和编著 人民音乐出版社 附CD-ROM1张 考研音乐教材大学音乐书籍中国音乐近代发 中国近现代音乐史,http://product.dangdang.com/1446185285.html,,¥108.00,,2018-07-10,人民音乐出版社,17条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/77/18/1364933570-1_b_1.jpg, 正版 李云迪朗朗理查德克莱德曼马克西姆钢琴曲演奏合集车载黑胶3CD碟 ,http://product.dangdang.com/1364933570.html,,¥98.00,,2017-06-02,珠影白天鹅音像出版社,53条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m0.ddimg.cn/6/35/1229227170-1_b_1.jpg, 口琴自学教程教学视频24孔复音口琴零基础入门教材乐谱简谱歌曲书 ,http://product.dangdang.com/1229227170.html,,¥89.00,宋斌,2017-05-22,上海音乐学院出版社,55条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m3.ddimg.cn/21/32/1481705103-1_b_1.jpg, 复仇者联盟 1-3部全集DVD正版高清漫威电影dvd光盘碟片 复仇者联盟,http://product.dangdang.com/1481705103.html,,¥168.00,,2019-05-09,广东音像出版社,3条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/71/4/1444334039-1_b_1.jpg, 英文原版DVD蓝色小考拉Penelope 英语字幕 幼儿童启蒙早教动画片 蓝色小考拉Penelope,http://product.dangdang.com/1444334039.html,,¥99.00,广东音像出版社,2019-03-01,广东音像出版社,21条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/47/36/1429793885-1_b_1.jpg, 新编剑桥商务英语口试手册(中高级) 修订升级版 BEC中级/bec高级口语考试书籍 剑桥商务英语应试辅导 剑桥商务英语 新编剑桥商务英语口试手册(中高级),http://product.dangdang.com/1429793885.html,,¥108.00,,2018-07-10,经济科学出版社,4条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/33/17/1125188295-1_b_1.jpg, 包邮套装全2册销售技巧书籍销售女神徐鹤宁教你创造商业奇迹陈安之学生书籍练口才心理学话术说话沟通技巧市场营销成功励 当天发货 保证正版,http://product.dangdang.com/1125188295.html,,¥61.00,潇竹,2016-12-01,湖南人民出版社,95条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m0.ddimg.cn/52/20/1418941510-1_b_1.jpg, pr教程书 adobe premiere pro cc 2018 经典教程 pr cc 2018 教程书籍 pr cc pr教程书,http://product.dangdang.com/1418941510.html,,¥148.00,,2018-12-10,人民邮电出版社,70条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m3.ddimg.cn/34/13/1385201203-1_b_1.jpg, 2020版天勤系列考研计算机高分笔记操作系统数据结构计算机网络计算机组成原理 第8版套装4册 周伟 等著 【文轩网正版图书】2020版天勤系列考研计算机高分笔记操作系统数据结构计算机网络计算机组成原理 第8版套装4册 周伟 等著,http://product.dangdang.com/1385201203.html,,¥151.70,周伟,2018-12-01,机械工业出版社,5条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/32/36/1427981477-1_b_6.jpg, 2020年王道计算机网络考研复习指导 电子工业出版社 【文轩正版图书】书中所有选择题视频全免费，扫码即看,http://product.dangdang.com/1427981477.html,本书是计算机专业研究生入学考试“计算机网络”课程的复习用书，内容包括计算机网络体系结构、物理层、数 据链路层、网络层、传输层、应用层等。本书严格按照新版计算机统考大纲的计算机网络部分，对大纲所涉及的知识 点进行集中梳理，力求内容精炼、重点突出、深入浅出。本书精选各名校的历年考研真题，并给出详细的解题思路， 力求实现讲练结合、灵活掌握、举一反三的功效。通过本书“书本＋在线”的学习方式和网上答疑方式，读者在使用 本书时遇到的任何疑难点，都可以在王道论坛发帖与道友互动。 本书可作为考生参加计算机专业研究生入学考试的备考复习用书，也可作为计算机专业的学生学习计算机网络课 程的辅导用书。,¥41.20,,2018-11-01,电子工业出版社,21条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/98/22/1476814877-1_b_1.jpg, 全国计算机等级考试二级教程 ACCESS数据库程序设计(2019年版) 高等教育出版社 【文轩正版图书】,http://product.dangdang.com/1476814877.html,,¥34.60,教育部考试中心,2018-11-01,高等教育出版社,1条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/84/4/1476645177-1_b_3.jpg, 未来教育 全国计算机等级考试一本通 二级Access 2019 人民邮电出版社 【文轩正版图书】2019年全国计算机等级考试 考试一本通 二级Access真考题库 全国计算机全真模拟考试 计算机等级考试无纸化专用二级Access等级考试教材,http://product.dangdang.com/1476645177.html,,¥29.20,全国计算机等级考试命题研究中心未来教育教学与研究中心,2019-01-01,人民邮电出版社,1条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/7/12/1465915777-1_b_1.jpg, 2020年王道数据结构+操作系统考研复习指导2册 电子工业出版社 【文轩正版图书】,http://product.dangdang.com/1465915777.html,,¥85.50,王道论坛,2018-12-01,电子工业出版社,8条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/66/30/1435449477-1_b_2.jpg, 天勤论坛 2020版数据结构高分笔记 第8版 机械工业出版社 【文轩正版图书】,http://product.dangdang.com/1435449477.html,,¥43.40,,2019-01-01,机械工业出版社,7条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m0.ddimg.cn/18/14/1370546910-1_b_1.jpg, 正版 渲染王3ds Max+VRay室内外效果图设计与制作（配光盘）3dmax教程书籍3d建模多媒体设计入门教材 渲染王3ds Max+VRay室内外效果图设计与制作（配光盘）,http://product.dangdang.com/1370546910.html,,¥128.00,,2018-11-08,清华大学出版社,4条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.15.00.00.00.00.html,计算机学习/考试/考级,http://img3m7.ddimg.cn/25/1/1475302777-1_b_1.jpg, 王道考研系列 计算机专业基础综合考试真题思路分析 2019 电子工业出版社 【文轩正版图书】,http://product.dangdang.com/1475302777.html,,¥35.90,王道论坛,2018-10-01,电子工业出版社,7条评论
